context_size_blocks,mode,category,exact_match_pct,f1_score_pct,gold_block_recall_pct,count
400,full_context,I,0.0,28.311111111111114,100.0,30
400,full_context,J,0.0,36.11142480707698,100.0,30
400,hybrid,A,100.0,100.0,100.0,30
400,hybrid,B,93.33333333333333,93.33333333333333,100.0,30
400,hybrid,C,100.0,100.0,100.0,30
400,hybrid,D,83.33333333333334,90.83333333333333,100.0,30
400,hybrid,E,23.333333333333332,48.888888888888886,100.0,30
400,hybrid,F,30.0,48.88888888888889,100.0,30
400,hybrid,G,0.0,72.8229114620919,100.0,30
400,hybrid,H,3.3333333333333335,55.37373737373738,100.0,30
400,hybrid,I,93.33333333333333,93.33333333333333,100.0,30
400,hybrid,J,83.33333333333334,83.33333333333334,100.0,30
400,oracle,A,100.0,100.0,100.0,30
400,oracle,B,93.33333333333333,93.33333333333333,100.0,30
400,oracle,C,100.0,100.0,100.0,30
400,oracle,D,93.33333333333333,93.33333333333333,100.0,30
400,oracle,E,90.0,90.0,100.0,30
400,oracle,F,83.33333333333334,83.33333333333334,100.0,30
400,oracle,G,0.0,70.73160173160171,100.0,30
400,oracle,H,6.666666666666667,67.27069811280339,100.0,30
400,oracle,I,93.33333333333333,93.33333333333333,100.0,30
400,oracle,J,83.33333333333334,83.33333333333334,100.0,30
400,predictor_cached,A,100.0,100.0,100.0,30
400,predictor_cached,B,93.33333333333333,93.33333333333333,100.0,30
400,predictor_cached,C,100.0,100.0,100.0,30
400,predictor_cached,D,93.33333333333333,93.33333333333333,100.0,30
400,predictor_cached,E,20.0,46.666666666666664,100.0,30
400,predictor_cached,F,30.0,48.88888888888889,100.0,30
400,predictor_cached,G,0.0,73.68217190106246,100.0,30
400,predictor_cached,H,0.0,59.18518518518518,93.33333333333333,30
400,predictor_cached,I,93.33333333333333,93.33333333333333,100.0,30
400,predictor_cached,J,83.33333333333334,83.33333333333334,100.0,30
400,predictor_otf,A,100.0,100.0,100.0,30
400,predictor_otf,B,93.33333333333333,93.33333333333333,100.0,30
400,predictor_otf,C,100.0,100.0,100.0,30
400,predictor_otf,D,93.33333333333333,93.33333333333333,100.0,30
400,predictor_otf,E,20.0,46.666666666666664,100.0,30
400,predictor_otf,F,30.0,48.88888888888889,100.0,30
400,predictor_otf,G,0.0,73.68217190106246,100.0,30
400,predictor_otf,H,0.0,59.18518518518518,93.33333333333333,30
400,predictor_otf,I,93.33333333333333,93.33333333333333,100.0,30
400,predictor_otf,J,83.33333333333334,83.33333333333334,100.0,30
400,random,A,0.0,28.888888888888886,0.0,30
400,random,B,3.3333333333333335,30.0,10.0,30
400,random,C,6.666666666666667,33.33333333333333,3.3333333333333335,30
400,random,D,0.0,30.333333333333336,6.666666666666667,30
400,random,E,0.0,34.44444444444444,10.0,30
400,random,F,0.0,33.33333333333333,16.666666666666664,30
400,random,G,0.0,20.696061559018165,13.333333333333334,30
400,random,H,0.0,5.040007922360864,16.666666666666664,30
400,random,I,0.0,34.44444444444445,6.666666666666667,30
400,random,J,0.0,26.66666666666666,16.666666666666664,30
