question_id,category,project,context_size_blocks,mode,oom,exact_match,f1_score,numeric_preservation,gold_block_recall,suffix_error,abstention_correct,is_abstention,ttft_ms,decode_ms,e2e_ms,selector_latency_ms,tokens_per_sec_in,tokens_per_sec_out,effective_context_tokens_per_sec,kept_blocks_count,token_reduction_pct
Q0182,G,RADAR-182,400,oracle,False,False,0.8571428571428572,True,True,False,True,False,40.82080000080168,945.6591999987722,986.4799999995739,0.0,8794.536118668659,54.988097191956165,51901.71113456138,1,99.75
Q0188,G,XENON-188,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,40.220300001237774,923.0687999988731,963.2891000001109,0.0,8975.567064116634,58.50051480460169,53151.229469942205,1,99.75
Q0198,G,APEX-198,400,oracle,False,False,0.9,True,True,False,True,False,40.931200001068646,894.7181000003184,935.649300001387,0.0,8819.677898292131,58.11886447807583,54721.35767100355,1,99.75
Q0205,G,HELIOS-205,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,41.6999000008218,954.5076999966113,996.2075999974331,0.0,8633.114227921536,56.57366619482662,51394.91005703221,1,99.75
Q0192,G,NEBULA-192,400,oracle,False,False,0.8571428571428572,True,True,False,True,False,40.17780000140192,1014.810500000749,1054.988300002151,0.0,8985.061401754294,52.22649943015063,48531.34390200878,1,99.75
Q0201,G,DAWN-201,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,80.80779999727383,1351.3632000031066,1432.1710000003804,0.0,4442.640438325401,39.21965612196496,35749.920924237675,1,99.75
Q0207,G,MYSTIC_207_VOID,400,oracle,False,False,0.0,True,True,False,False,True,41.461599998001475,1684.47450000167,1725.9360999996716,0.0,10515.754337049608,30.870161584487295,29665.061180428256,1,99.75
Q0203,G,FALCON-203,400,oracle,False,False,0.9,True,True,False,True,False,59.783800003060605,1183.2580999980564,1243.041900001117,0.0,6038.425124892007,43.94645597616058,41189.279299397705,1,99.75
Q0181,G,QUASAR-181,400,oracle,False,False,0.8571428571428572,True,True,False,True,False,45.20989999946323,1470.84619999805,1516.0560999975132,0.0,7984.9767419146265,36.033679116191934,33771.83733509861,1,99.75
Q0187,G,WARP-187,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,69.41270000243094,1629.3711999969673,1698.7838999993983,0.0,5171.964208097758,32.527885604028505,30139.207229370455,1,99.75
Q0189,G,ZENITH-189,400,oracle,False,False,0.7826086956521738,True,True,False,True,False,66.15329999840469,1489.1962000001513,1555.349499998556,0.0,5457.021796474335,36.93267549299039,32918.64625927969,1,99.75
Q0191,G,SAKURA-191,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,68.02919999972801,1545.5345000009402,1613.5637000006682,0.0,5306.544836650193,34.9393688720421,31731.006343275323,1,99.75
Q0183,G,MYSTIC_183_VOID,400,oracle,False,False,0.09523809523809525,True,True,False,False,True,40.75699999884819,1968.7601000005088,2009.517099999357,0.0,10746.620212782544,32.507769737909385,25478.75805586147,1,99.75
Q0206,G,MYSTIC_206_VOID,400,oracle,False,False,0.09523809523809525,True,True,False,False,True,62.30320000031497,1951.2414000018907,2013.5446000022057,0.0,6998.035413875946,32.79963207009547,25427.795341580175,1,99.75
Q0195,G,POLARIS-195,400,oracle,False,False,0.608695652173913,True,True,False,True,False,68.2663000006869,1719.9273999976867,1788.1936999983736,0.0,5288.114340404674,31.978093959125236,28632.244929644123,1,99.75
Q0190,G,VANTAGE-190,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,40.907499998866115,1143.3465000009164,1184.2539999997825,0.0,8873.67842107344,48.979027792497824,43233.96838854621,1,99.75
Q0199,G,BEACON-199,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,40.55759999755537,1085.5346999996982,1126.0922999972536,0.0,8974.890033481772,52.508685351113925,45466.96571864036,1,99.75
Q0180,G,PHOENIX-180,400,oracle,False,False,0.608695652173913,True,True,False,True,False,49.743100000341656,1107.7383999981976,1157.4814999985392,0.0,7297.494526828983,50.553451970330826,44233.96831833996,1,99.75
Q0196,G,AURORA-196,400,oracle,False,False,0.45454545454545453,True,True,False,True,False,60.657599999103695,1402.8505999995105,1463.5081999986141,0.0,5951.438896450474,39.205885502005124,34984.42987886811,1,99.75
Q0209,G,LUNA-209,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,51.73039999863249,1560.1586000011594,1611.8889999997918,0.0,6997.819464175215,35.252826219051784,31763.973822022865,1,99.75
Q0197,G,HESTIA-197,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,41.988500001025386,1124.5701000007102,1166.5586000017356,0.0,8597.592197653743,48.01834941189161,43889.779733245996,1,99.75
Q0185,G,URANUS-185,400,oracle,False,False,0.8181818181818182,True,True,False,True,False,71.13200000094366,1562.6889999984996,1633.8209999994433,0.0,5089.130067974998,35.19574272299402,31337.58226881491,1,99.75
Q0204,G,GENESIS-204,400,oracle,False,False,0.8571428571428572,True,True,False,True,False,39.67929999998887,958.9200000009441,998.599300000933,0.0,9072.740698553174,55.2705126600215,51271.81643323019,1,99.75
Q0229,H,AURORA-229,400,oracle,False,False,0.8,True,True,False,True,False,40.806099998007994,1271.077500001411,1311.883599999419,0.0,11640.41650692391,50.35098174574639,39027.852775980034,4,99.0
Q0217,H,TITAN-217,400,oracle,False,False,0.8,True,True,False,True,False,41.178699997544754,1256.2997000022733,1297.478399999818,0.0,11486.520944765187,50.94325820493644,39461.157889030896,4,99.0
Q0212,H,ORION-212,400,oracle,False,False,0.8,True,True,False,True,False,58.38980000044103,1235.0263000007544,1293.4161000011954,0.0,8134.9824797552355,51.82075879676482,39585.09562386975,4,99.0
Q0237,H,MYSTIC_237_VOID,400,oracle,False,False,0.1111111111111111,True,True,False,False,True,41.27820000212523,1095.1122999977088,1136.390499999834,0.0,10344.443313371603,58.441494995658346,45054.934901345514,1,99.75
Q0220,H,WARP-220,400,oracle,False,False,0.8,True,True,False,True,False,43.44969999874593,1596.166399998765,1639.616099997511,0.0,10932.1813502443,40.09607018419227,31226.821937206965,4,99.0
Q0231,H,APEX-231,400,oracle,False,False,0.8,True,True,False,True,False,63.701399998535635,1784.6769999996468,1848.3783999981824,0.0,7456.665002824417,35.8608308394251,27699.955809941486,4,99.0
Q0214,H,QUASAR-214,400,oracle,False,False,0.8,True,True,False,True,False,70.01649999801884,1773.1383000027563,1843.1548000007751,0.0,6755.550477578625,36.09419524686851,27778.45897695542,4,99.0
Q0223,H,VANTAGE-223,400,oracle,False,False,0.8,True,True,False,True,False,69.52649999948335,1748.3457999987877,1817.872299998271,0.0,6831.92739464132,36.60603068342909,28164.794633841273,4,99.0
Q0218,H,MYSTIC_218_VOID,400,oracle,False,False,0.12121212121212122,True,True,False,False,True,45.12580000300659,1743.5895999988134,1788.71540000182,0.0,9440.275850436268,36.705885375803774,28623.89399674644,1,99.75
Q0236,H,FALCON-236,400,oracle,False,False,0.8,True,True,False,True,False,65.80229999963194,1692.1872999992047,1757.9895999988366,0.0,7218.592663214764,37.82087242944684,29124.17684384133,4,99.0
Q0210,H,METEOR-210,400,oracle,False,False,1.0,True,True,False,True,False,46.050900000409456,1335.1732000010088,1381.2241000014183,0.0,10314.673545919333,47.93385607197002,37068.56838071927,4,99.0
Q0215,H,RADAR-215,400,oracle,False,False,0.8,True,True,False,True,False,40.924199998698896,1148.766300000716,1189.690499999415,0.0,11557.953485102656,55.71194071410356,43036.40316538224,4,99.0
Q0211,H,MYSTIC_211_VOID,400,oracle,False,False,0.10526315789473682,True,True,False,False,True,41.09059999973397,1149.1303000002517,1190.2208999999857,0.0,10342.998155362822,55.69429332773314,43017.22478575247,1,99.75
Q0238,H,HELIOS-238,400,oracle,False,False,0.8,True,True,False,True,False,58.66459999742801,1813.9781000027142,1872.6427000001422,0.0,8096.876140309915,35.28157258343099,27341.040551940907,4,99.0
Q0225,H,NEBULA-225,400,oracle,False,False,1.0,True,True,False,True,False,63.667399997939356,1755.2986000009696,1818.965999998909,0.0,7460.647050380159,36.461032897744374,28147.859828073044,4,99.0
Q0213,H,PHOENIX-213,400,oracle,False,False,0.8,True,True,False,True,False,39.67130000091856,1189.93380000029,1229.6051000012085,0.0,11973.391343086858,53.784504650581745,41639.384872386814,4,99.0
Q0228,H,POLARIS-228,400,oracle,False,False,0.5454545454545454,False,True,False,True,False,40.069999999104766,1188.6443000003055,1228.7142999994103,0.0,11804.342401062331,53.84285273566159,41669.57282097602,4,99.0
Q0226,H,COSMOS-226,400,oracle,False,True,1.0,True,True,False,True,False,40.399599998636404,1160.420600001089,1200.8201999997254,0.0,11757.542154279561,55.15241628762876,42637.523919077736,4,99.0
Q0224,H,SAKURA-224,400,oracle,False,False,0.8,True,True,False,True,False,41.10020000007353,1153.54269999807,1194.6428999981435,0.0,11557.121376517638,55.48125786770362,42857.99547302342,4,99.0
Q0221,H,XENON-221,400,oracle,False,False,0.8,True,True,False,True,False,40.13999999733642,1136.9752000027802,1177.1152000001166,0.0,11833.582462170396,56.28970623092175,43496.16757985533,4,99.0
